model,persona,depth,ceil,delta,lo,hi,sig,b_shared,b_self,cos_sent
Qwen/Qwen2.5-3B-Instruct,default,0.25,0.956,0.232,0.138,0.298,True,0.1,-0.15,0.14
Qwen/Qwen2.5-3B-Instruct,default,0.5,0.955,0.348,0.284,0.403,True,-0.24,0.02,0.13
Qwen/Qwen2.5-3B-Instruct,default,0.75,0.951,0.269,0.204,0.334,True,-0.41,-0.32,0.26
Qwen/Qwen2.5-3B-Instruct,default,1.0,0.95,0.294,0.208,0.368,True,-0.48,-0.31,0.33
Qwen/Qwen2.5-3B-Instruct,stoic,0.25,0.951,0.224,0.139,0.291,True,-0.09,0.15,0.15
Qwen/Qwen2.5-3B-Instruct,stoic,0.5,0.953,0.28,0.231,0.336,True,-0.31,0.1,0.09
Qwen/Qwen2.5-3B-Instruct,stoic,0.75,0.949,0.22,0.159,0.284,True,-0.3,-0.29,0.2
Qwen/Qwen2.5-3B-Instruct,stoic,1.0,0.937,0.215,0.127,0.299,True,-0.32,-0.3,0.27
Qwen/Qwen2.5-7B-Instruct,default,0.25,0.964,0.322,0.259,0.387,True,-0.02,0.07,0.17
Qwen/Qwen2.5-7B-Instruct,default,0.5,0.939,0.182,0.112,0.232,True,-0.33,0.15,0.19
Qwen/Qwen2.5-7B-Instruct,default,0.75,0.956,0.156,0.095,0.215,True,-0.34,-0.36,0.16
Qwen/Qwen2.5-7B-Instruct,default,1.0,0.957,0.155,0.102,0.206,True,-0.46,-0.31,0.09
Qwen/Qwen2.5-7B-Instruct,stoic,0.25,0.967,0.242,0.183,0.3,True,0.32,-0.17,0.16
Qwen/Qwen2.5-7B-Instruct,stoic,0.5,0.948,0.17,0.121,0.213,True,-0.34,0.23,0.25
Qwen/Qwen2.5-7B-Instruct,stoic,0.75,0.953,0.204,0.146,0.264,True,-0.6,0.02,0.12
Qwen/Qwen2.5-7B-Instruct,stoic,1.0,0.944,0.192,0.122,0.26,True,-0.47,-0.31,0.13
Qwen/Qwen2.5-14B-Instruct,default,0.25,0.951,0.107,0.045,0.16,True,-0.19,0.21,0.18
Qwen/Qwen2.5-14B-Instruct,default,0.5,0.948,0.144,0.099,0.188,True,-0.15,-0.04,0.14
Qwen/Qwen2.5-14B-Instruct,default,0.75,0.932,0.224,0.139,0.294,True,-0.29,-0.36,0.27
Qwen/Qwen2.5-14B-Instruct,default,1.0,0.933,0.241,0.149,0.321,True,-0.26,-0.39,0.28
Qwen/Qwen2.5-14B-Instruct,stoic,0.25,0.943,0.092,0.031,0.147,True,0.05,0.31,0.15
Qwen/Qwen2.5-14B-Instruct,stoic,0.5,0.953,0.136,0.093,0.171,True,-0.37,0.41,0.14
Qwen/Qwen2.5-14B-Instruct,stoic,0.75,0.916,0.205,0.109,0.286,True,-0.42,-0.21,0.22
